Generation,Points Pirates,Steps Pirates,Ray Radius Pirates,Sight Pirates,Moving Speed Pirates, Box Weight Pirates, Boat Weight Pirates
66,8,26,16,21.18634,22.69331,8.212233,-5.292252
67,4,22,16,21.18634,22.69331,1.896231,-5.292252
68,4,22,16,21.18634,22.69331,1.896231,-5.292252
69,2,28,16,12.83247,22.83372,11.37023,-5.292252
70,4,22,16,23.34278,23.27381,-1.26177,-7.469054
71,4,22,16,25.71289,19.54897,6.551782,-3.448856
72,6,22,16,20.54027,21.02549,4.936611,-3.448856
73,4,24,16,17.55753,23.27381,1.896231,-7.469054
74,6,24,16,23.0207,23.27381,1.896231,-7.469054
75,2,24,16,20.36004,20.93989,4.81899,-5.959064
76,4,22,16,19.6474,25.59185,1.77861,-5.625658
77,6,22,16,20.20981,23.66912,1.77861,-5.625658
78,4,24,16,19.50707,22.91352,3.393781,-7.80246
79,6,22,16,19.72913,27.51458,1.77861,-5.625658
80,4,18,16,19.72913,27.51458,-4.537392,-5.625658
81,2,18,16,19.1447,24.61705,-1.399456,-7.372395
82,2,20,16,16.51443,27.51458,-1.379391,-5.625658
83,4,18,17,19.17193,31.97214,-4.201014,-8.917471
84,6,16,17,19.17193,31.97214,-7.359015,-8.917471
85,2,20,16,16.647,28.23549,-3.767039,-7.503565
86,6,15,15,18.85508,34.50697,-7.022636,-12.20928
87,4,15,15,18.27065,31.60944,-3.8847,-13.95602
88,8,15,15,20.77956,34.36656,-7.022636,-12.20928
89,6,15,15,24.26646,34.16875,-7.022636,-12.20928
90,10,15,15,24.26646,34.16875,-7.022636,-12.20928
91,6,15,15,24.26646,34.16875,-7.022636,-12.20928
92,6,15,15,24.26646,34.16875,-7.022636,-12.20928
93,8,15,12,24.26646,34.16875,-7.022636,-13.68357
94,8,14,11,16.44749,35.44975,-3.982256,-10.36589
95,8,12,11,21.52072,33.97323,-4.754733,-10.06699
96,6,15,8,20.29729,35.50065,-5.407465,-13.83548
97,6,16,9,16.35738,36.17065,-5.284258,-14.07833
98,8,12,13,20.98987,35.64351,-1.782497,-8.338787
99,6,14,13,23.38853,33.21763,-0.1673257,-10.51559
